feature,f_score,p_value
sbert_314,0.7437348229087034,0.6682896013215065
sbert_275,0.7404022158134339,0.6713326819546255
sbert_184,0.7367967933166918,0.6746230949808368
sbert_197,0.7275450665145341,0.6830562214956584
sbert_248,0.7256463324596455,0.6847848323171211
sbert_135,0.7229500562792298,0.6872381221505359
sbert_67,0.7204518818982221,0.689509603330138
sbert_161,0.7151667887382746,0.6943097481165996
sbert_370,0.7114341852867306,0.6976950929853194
sbert_267,0.7087713220063195,0.7001076148825985
sbert_83,0.6916154552972942,0.7155906611870123
sbert_233,0.6905988877688019,0.7165044615253829
sbert_40,0.6813749685583773,0.7247746444145848
sbert_283,0.6806086182071391,0.7254599449004406
sbert_266,0.6802147856687617,0.7258120124079328
sbert_236,0.6799067124659487,0.7260873613678096
sbert_63,0.6797057474857553,0.7262669538425793
sbert_192,0.6757600735290867,0.7297888465095159
sbert_3,0.6756263472543131,0.729908068864562
sbert_66,0.6749158072233831,0.7305413856463019
sbert_81,0.6712978279438587,0.733761949616407
sbert_115,0.6692996616686459,0.7355375409367978
sbert_222,0.6652420854995958,0.7391361350762964
sbert_322,0.6607043642113,0.7431489970644465
sbert_144,0.6583129055222464,0.7452587390221046
sbert_273,0.6510298711699548,0.751661040272993
sbert_376,0.6501314831131928,0.7524483268587278
sbert_361,0.649140731480228,0.7533159097743589
sbert_134,0.6488582375667293,0.7535631597117628
sbert_90,0.6477026068461333,0.754574032948445
sbert_349,0.6407656206957093,0.7606219445518726
sbert_208,0.6394390747615778,0.7617744322754423
sbert_166,0.6319024926444746,0.7682963484823021
sbert_200,0.6311300603842954,0.768962242219547
sbert_45,0.62936710833825,0.7704802161584561
sbert_97,0.6227743911866501,0.776133821280527
sbert_228,0.6213577665383285,0.7773437944010001
sbert_255,0.6128467819857499,0.7845755219830649
sbert_39,0.6067360192568273,0.7897263433062611
sbert_243,0.606290995012968,0.7901000565712203
sbert_318,0.6029796489063084,0.7928746776318342
sbert_271,0.6028642768494737,0.7929711534413868
sbert_69,0.5947392383993951,0.7997313875425658
sbert_329,0.5943973002536904,0.8000143891267151
sbert_348,0.590307482306603,0.8033896466141257
sbert_122,0.5855815177955777,0.8072673299411928
sbert_127,0.5827422153614236,0.8095850807216249
sbert_324,0.5810339710034493,0.8109751494316555
sbert_105,0.5772108454738545,0.8140740441573426
sbert_51,0.5731935492454361,0.8173119159271323
sbert_274,0.5724471791880626,0.8179113657000684
sbert_126,0.5684236088459718,0.8211313276955774
sbert_32,0.5608143856248028,0.8271661832629624
sbert_218,0.5540624811518453,0.8324593430501406
sbert_207,0.545269018632971,0.8392625140884261
sbert_195,0.5283149127339059,0.8520753100754331
sbert_241,0.5255637508106821,0.8541150924044476
sbert_85,0.5250436600286219,0.8544994302300242
sbert_59,0.5227167908203072,0.8562139589352855
sbert_377,0.5191697795978336,0.8588117190689595
sbert_352,0.4999399393059969,0.8725517871704611
sbert_331,0.4978816227793928,0.8739870638753613
sbert_338,0.4738304848324477,0.8902235820272065
sbert_291,0.46861487004219443,0.8936103541155835
sbert_196,0.4496876211830133,0.9054804942333534
sbert_281,0.4451871160815127,0.908203620134772
sbert_121,0.4385782952732707,0.9121316210166208
sbert_107,0.43125249651570485,0.9163860207529783
sbert_367,0.42511655371226637,0.9198676332587489
sbert_170,0.42245352479801385,0.9213552352111797
sbert_42,0.4201742024259939,0.9226171537128613
sbert_116,0.41014727168454373,0.9280432005131032
sbert_15,0.4084245669752811,0.9289547441521994
sbert_280,0.38118437994342014,0.942547924626838
sbert_285,0.38071244955103,0.9427696745621436
sbert_64,0.3778277815508195,0.9441148441030361
sbert_125,0.36475068666166227,0.949990644542825
sbert_366,0.34764648532625214,0.957123480158984
sbert_103,0.33879470856059557,0.9605684057638404
sbert_284,0.3375471238708888,0.9610404322146895
sbert_26,0.3228241460469679,0.9663595627870507
sbert_62,0.3000551637631943,0.9736810669263024
sbert_223,0.2670255154982357,0.9824042973281558
bullet_density,0.26261080894685496,0.9834061794616606
sbert_323,0.23049361610807959,0.9896005120938666
sbert_84,0.2012099577920384,0.99370203251791
